Question;Answer
key (вопрос);VALUE (ответ)
привет;"👋 Привет! Рад вас видеть в FunLand! 😊<br>""Готов помочь с выбором развлечений"
меню;🏠 Главное меню<br>Выберите интересующую тему:<br>• vr<br>• батуты<br>• нерф<br>• день рождения<br>• акции<br>• цены
vr;"🎮 VR-зоны<br>Погружайтесь в виртуальную реальность с шлемами HTC Vive и Oculus!<br>Плюсы:<br>• Можно играть вдвоём<br>• Подходит для взрослых и детей от 7 лет<br>""• Разные жанры: шутеры"
батуты;"🏀 Батутный центр<br>""Прыгайте"
нерф;"🔫 Нерф-арена<br>Тактические баталии с мягкими дротиками — идеально для командных игр!<br>Формат:<br>• Команды до 8 человек<br>""• Сценарии: захват флага"
день рождения;"🎉 День рождения в FunLand<br>Мы организуем яркие и незабываемые праздники для детей и взрослых!<br>Что входит:<br>• Аниматор или ведущий<br>• Праздничное оформление<br>""• Игры и активности (батуты"
акции;🎁 Акции FunLand<br>• 🧒 Детям до 7 лет — 50% скидка<br>• 👨‍👩‍👧‍👦 Семейный пакет — + VR бесплатно<br>• 🎓 Студенческий день — -20% по пятницам<br>• 🎂 Привезёте торт — скидка 10%
цены;💰 Все цены:<br>• VR: от 300 ₽<br>• Батуты: от 500 ₽<br>• Нерф: от 2500 ₽<br>• День рождения: от 8000 ₽<br>Посмотреть полный прайс
как забронировать;"📅 Как забронировать?<br>1. Перейдите в форму бронирования<br>""2. Укажите имя"
можно ли купить билет онлайн;🎟️ Да! Вы можете забронировать время онлайн — мы свяжемся для подтверждения.<br>Это удобно и быстро — ваше время гарантировано.
есть ли групповые скидки;👥 Да! У нас есть групповые скидки:<br>• От 10 человек — 15% скидка<br>• От 20 человек — 25% скидка<br>Свяжитесь с нами — рассчитаем индивидуально!
какие есть абонементы;🎫 Абонементы FunLand:<br>• 5 посещений — 2000 ₽<br>• 10 посещений — 3500 ₽<br>• Семейный (2+2) — 5000 ₽<br>Экономьте с каждым визитом!
можно ли оплатить картой;💳 Да, мы принимаем:<br>• Банковские карты<br>• Apple Pay / Google Pay<br>• Онлайн-платежи при бронировании
режим работы;🕒 Режим работы:<br>Ежедневно с 10:00 до 22:00<br>Без перерывов и выходных!<br>🎉 Работаем и в праздники!
работаете ли в праздники;"🎉 Да! Мы работаем ежедневно"""
сколько стоит посещение батутов;💰 Батуты:<br>• 500 ₽ — 1 час<br>• 4000 ₽ — 10 посещений<br>Детям до 6 лет — скидка 30%.
нужно ли специальное снаряжение;👟 Для батутов нужны специальные носки (чтобы не скользить).<br>Продаём у входа за 100 ₽ — удобно и безопасно!
можно ли с маленькими детьми;"👶 Да! У нас есть детская зона для детей от 3 до 6 лет.<br>""Малыши играют безопасно"
какие vr-игры есть;"🎮 У нас более 20 VR-игр:<br>• Superhot<br>• Beat Saber<br>• Job Simulator<br>• Half-Life: Alyx<br>""• Зомби-шутеры"
с какого возраста можно в vr;👶 От 7 лет — можно играть в VR.<br>До 12 лет — с согласия родителей.<br>Первый сеанс — с инструктором.
сколько стоит сеанс vr;💰 VR-сессии:<br>• 300 ₽ — 30 минут<br>• 500 ₽ — 1 час<br>• 900 ₽ — 2 часа<br>Можно играть вдвоём!
можно ли играть одному;"🎮 Да! Можно играть в одиночку или вдвоём — зависит от игры.<br>Популярные мультиплеерные игры: Superhot"""
нужно ли бронировать vr;"📅 Рекомендуем бронировать"""
какие виды игр в нерф;🔫 Форматы игр в Нерф:<br>• Захват флага<br>• Защита базы<br>• Осада<br>• Командные баталии 4x4<br>Все игры проходят под руководством ведущего.
сколько человек в команде;👥 В Нерф-арене одновременно могут играть до 8 человек.<br>Можно разделиться на 2 команды по 4 человека.
есть ли защита;🛡️ Да! Мы выдаём:<br>• Маски (обязательно)<br>• Перчатки<br>• Налокотники<br>Всё оборудование безопасное и проверенное.
правила безопасности в нерфе;⚠️ Правила Нерф:<br>• Стрелять только в ноги<br>• Не снимать маску во время игры<br>• Следовать указаниям ведущего<br>• Запрещено толкать и грубить
